,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob
160,160,63.40378000000001,52.742943,14.119000000000002,13.267000000000001,12.35,11.51,11.87,10.997,10.706,10.406,160,0.999998368540234
251,251,63.4037767,52.7429414,14.119000000000002,13.267000000000001,12.35,11.51,11.87,10.997,10.706,10.406,251,0.999998368540234
409,410,88.85266700000003,22.910194,16.486,16.13,13.95,13.1,12.93,11.157,10.659,10.317,409,0.9999943369229944
397,398,64.45893670000001,53.4239286,14.407,14.29,13.33,12.54,12.74,11.808,11.481,11.187,397,0.9999590883340779
545,546,64.458939,53.423931,14.407,14.29,13.33,12.54,12.74,11.808,11.481,11.187,545,0.9999590883340779
315,316,309.19739,34.196501700000006,15.057,14.726,13.83,13.12,13.32,12.537,12.245,12.024,315,0.999945105434186
555,556,62.83595,53.234539,14.064,13.995999999999999,12.83,12.1,12.34,11.789,11.513,11.247,555,0.9999336947779628
104,104,97.036163,1.3953582,14.439,14.517999999999999,13.78,13.13,13.34,12.491,12.212,11.924,104,0.9998457602543876
112,112,88.47008100000002,22.429046,14.769,14.9,13.52,12.83,12.96,12.013,11.716,11.386,112,0.9997992471802991
952,954,102.8430914,-0.2858156,15.046,15.123,14.62,14.06,14.17,13.439,13.151,12.976,952,0.9977265316218984
